number,stability,foldingPattern
112,-2.0,"['0', '+Y', '+X', '+Y', '+X', '+Y', '+X', '-Y', '+X', '+X', '+X', '+X', '+Y', '-X', '-X']"
113,-1.0,"['0', '+Y', '+X', '+Y', '-X', '-X', '+Y', '-X', '-X', '+Y', '+Y', '-X', '-X', '-X', '-Y']"
114,-1.0,"['0', '-Y', '-Y', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '-Y', '-X', '-Y', '+X', '+X', '+X']"
115,0.0,"['0', '+Y', '+X', '+X', '-Y', '+X', '+X', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+Y', '+Y']"
116,0.0,"['0', '+X', '+X', '-Y', '+X', '+X', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '-X', '-X', '+Y']"
117,0.0,"['0', '+X', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '-X', '-X', '+Y', '+X', '+X', '+X', '+X']"
118,0.0,"['0', '+X', '+X', '+X', '+Y', '+X', '+Y', '+Y', '-X', '-X', '+Y', '+Y', '+X', '+X', '+Y']"
119,-1.0,"['0', '-Y', '-Y', '-X', '+Y', '-X', '+Y', '+Y', '-X', '-X', '-Y', '-X', '+Y', '-X', '-Y']"
120,-1.0,"['0', '+Y', '+X', '-Y', '-Y', '+X', '-Y', '+X', '-Y', '-X', '-X', '-Y', '+X', '+X', '-Y']"
121,-2.0,"['0', '+X', '+Y', '+X', '-Y', '+X', '+X', '-Y', '-X', '-X', '-Y', '-X', '-X', '-X', '+Y']"
122,-2.0,"['0', '-Y', '-X', '+Y', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '-X', '+Y', '-X', '+Y', '+X']"
123,0.0,"['0', '+Y', '+Y', '+Y', '+Y', '+X', '-Y', '+X', '+X', '+X', '-Y', '-X', '-X', '-X', '-Y']"
124,-1.0,"['0', '+X', '+Y', '+X', '-Y', '-Y', '-Y', '+X', '-Y', '-Y', '-Y', '-Y', '-Y', '-Y', '-Y']"
125,0.0,"['0', '+Y', '-X', '-X', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+X', '-Y', '-Y']"
126,-2.0,"['0', '+X', '-Y', '+X', '+Y', '+X', '-Y', '+X', '+Y', '+Y', '+X', '-Y', '+X', '+Y', '+Y']"
127,-2.0,"['0', '+X', '+Y', '-X', '+Y', '+Y', '-X', '-Y', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-Y']"
128,-1.0,"['0', '-Y', '+X', '+Y', '+X', '-Y', '+X', '+X', '+X', '-Y', '-Y', '+X', '-Y', '-Y', '+X']"
129,-1.0,"['0', '-Y', '-X', '+Y', '+Y', '+Y', '-X', '-X', '-X', '-X', '+Y', '+Y', '+X', '+X', '+X']"
130,-1.0,"['0', '+Y', '-X', '-X', '-Y', '-X', '-Y', '+X', '-Y', '+X', '+X', '-Y', '-X', '-Y', '-Y']"
131,0.0,"['0', '+Y', '+Y', '-X', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '+X', '-Y', '+X', '-Y']"
132,-1.0,"['0', '-Y', '-Y', '+X', '-Y', '-X', '-Y', '+X', '-Y', '+X', '+X', '-Y', '-X', '-Y', '-Y']"
133,-3.0,"['0', '-X', '-X', '-X', '-X', '-Y', '-Y', '-X', '-X', '+Y', '+X', '+Y', '+Y', '-X', '-Y']"
134,-1.0,"['0', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+Y', '+Y', '-X']"
135,0.0,"['0', '+X', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '-Y', '+X', '-Y', '-Y', '+X', '-Y']"
136,0.0,"['0', '+X', '+X', '+X', '-Y', '-Y', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '-X']"
137,-1.0,"['0', '+Y', '+Y', '+Y', '+Y', '-X', '-Y', '-X', '-Y', '-X', '+Y', '-X', '+Y', '+Y', '+Y']"
138,-2.0,"['0', '+X', '+Y', '-X', '+Y', '-X', '-X', '+Y', '-X', '-Y', '-X', '-X', '+Y', '+X', '+X']"
139,0.0,"['0', '+Y', '+X', '+X', '-Y', '+X', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '-X', '-X', '+Y']"
140,0.0,"['0', '-X', '-X', '+Y', '-X', '-Y', '-Y', '-X', '-X', '-X', '+Y', '-X', '-X', '+Y', '+Y']"
141,-1.0,"['0', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+X', '-Y', '-Y', '-X', '-X', '-Y', '-X', '+Y']"
142,-2.0,"['0', '-X', '+Y', '+Y', '+X', '+X', '+Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '-X', '+Y']"
143,0.0,"['0', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+X', '+X', '+X', '+X']"
144,-1.0,"['0', '+X', '+Y', '+Y', '+X', '-Y', '-Y', '+X', '+Y', '+X', '-Y', '+X', '-Y', '-Y', '-Y']"
145,0.0,"['0', '+Y', '+Y', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '+Y', '-X', '+Y', '-X', '+Y', '+X']"
146,-1.0,"['0', '+Y', '-X', '+Y', '+X', '+Y', '+X', '+X', '-Y', '+X', '+X', '+Y', '-X', '+Y', '+Y']"
147,-1.0,"['0', '-X', '-Y', '+X', '-Y', '+X', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '-Y', '+X', '-Y']"
148,-1.0,"['0', '+X', '+Y', '+Y', '-X', '-X', '+Y', '+X', '+Y', '-X', '-X', '+Y', '+X', '+X', '+Y']"
149,-1.0,"['0', '+X', '+X', '+Y', '-X', '+Y', '+X', '+X', '-Y', '-Y', '-Y', '-Y', '-X', '-Y', '+X']"
150,-1.0,"['0', '+X', '-Y', '+X', '+X', '+X', '-Y', '-Y', '+X', '-Y', '-Y', '-X', '-Y', '+X', '-Y']"
151,-1.0,"['0', '-Y', '+X', '+X', '+Y', '+Y', '+Y', '-X', '-X', '-X', '+Y', '+Y', '-X', '-Y', '-Y']"
152,-1.0,"['0', '-X', '-X', '-Y', '+X', '-Y', '-X', '-Y', '-X', '-X', '-Y', '-Y', '+X', '-Y', '-X']"
153,-2.0,"['0', '+Y', '+Y', '+X', '-Y', '+X', '+X', '+X', '+Y', '+X', '-Y', '+X', '-Y', '-Y', '-X']"
154,0.0,"['0', '-Y', '-Y', '-Y', '-X', '-Y', '-Y', '+X', '+X', '+Y', '+X', '+Y', '-X', '+Y', '+X']"
155,-1.0,"['0', '-Y', '-Y', '+X', '+X', '-Y', '-Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+X', '+X']"
156,0.0,"['0', '-Y', '-X', '-Y', '-Y', '+X', '-Y', '+X', '+Y', '+X', '+X', '+X', '+X', '-Y', '+X']"
157,0.0,"['0', '+X', '+Y', '+X', '+X', '-Y', '+X', '-Y', '+X', '+X', '+Y', '+X', '+X', '+X', '+X']"
158,0.0,"['0', '-X', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '+Y', '-X', '-X', '-X', '-X', '+Y', '-X']"
159,-1.0,"['0', '+X', '+Y', '+X', '+X', '+X', '+Y', '-X', '+Y', '+Y', '+X', '+Y', '+X', '+X', '+X']"
160,-3.0,"['0', '-Y', '+X', '-Y', '+X', '-Y', '+X', '+Y', '+Y', '+Y', '-X', '-X', '+Y', '-X', '+Y']"
161,-1.0,"['0', '-X', '-Y', '-X', '-X', '-X', '-Y', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '-Y']"
162,0.0,"['0', '+X', '+X', '-Y', '-Y', '-Y', '-X', '-Y', '-Y', '-X', '-X', '-Y', '-X', '-X', '-Y']"
163,-1.0,"['0', '+X', '+Y', '+X', '-Y', '-Y', '-Y', '+X', '-Y', '-Y', '-X', '-X', '-X', '+Y', '-X']"
164,0.0,"['0', '+Y', '+X', '+Y', '+Y', '-X', '-X', '+Y', '-X', '-Y', '-X', '-Y', '+X', '+X', '+X']"
165,-3.0,"['0', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+X', '+Y', '-X', '-X', '-X', '+Y', '+X', '+X']"
166,-1.0,"['0', '+Y', '+Y', '+Y', '-X', '+Y', '+Y', '-X', '-X', '+Y', '+X', '+X', '+Y', '+Y', '+X']"
167,0.0,"['0', '-Y', '-Y', '+X', '+X', '+Y', '+X', '+Y', '+X', '+Y', '+Y', '-X', '-Y', '-X', '+Y']"
168,-2.0,"['0', '+X', '+Y', '-X', '-X', '-X', '+Y', '+X', '+X', '+Y', '+X', '+Y', '+Y', '+X', '+X']"
169,0.0,"['0', '-Y', '+X', '+X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '+Y']"
170,0.0,"['0', '-Y', '-X', '-X', '-X', '+Y', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+Y']"
171,0.0,"['0', '-X', '-Y', '-Y', '-X', '-X', '-X', '-X', '-X', '-X', '+Y', '+Y', '+Y', '-X', '-Y']"
172,0.0,"['0', '+Y', '+Y', '-X', '+Y', '-X', '-X', '+Y', '-X', '-X', '-Y', '+X', '-Y', '+X', '-Y']"
173,0.0,"['0', '-Y', '-Y', '+X', '-Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-Y']"
174,0.0,"['0', '+X', '-Y', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+X']"
175,-1.0,"['0', '-X', '-Y', '+X', '-Y', '+X', '+X', '+X', '-Y', '-Y', '-Y', '+X', '+Y', '+X', '-Y']"
176,-1.0,"['0', '-Y', '+X', '+X', '+Y', '-X', '+Y', '+Y', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+Y']"
177,0.0,"['0', '+X', '+Y', '+Y', '+Y', '+X', '-Y', '+X', '+Y', '+X', '+Y', '-X', '+Y', '+Y', '+Y']"
178,-2.0,"['0', '+Y', '+Y', '+Y', '-X', '+Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '+Y', '+X', '+X']"
179,-1.0,"['0', '+X', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '-Y', '-X', '-Y', '-X', '-X', '+Y']"
180,-1.0,"['0', '-X', '-Y', '-Y', '+X', '+Y', '+X', '+X', '+Y', '+Y', '-X', '+Y', '+X', '+X', '+Y']"
181,-2.0,"['0', '+X', '+X', '-Y', '-X', '-X', '-X', '-Y', '-X', '-X', '-Y', '+X', '+X', '+X', '+X']"
182,-1.0,"['0', '+X', '-Y', '+X', '+X', '+X', '+X', '-Y', '-Y', '-X', '-Y', '-Y', '-X', '+Y', '+X']"
183,-1.0,"['0', '-X', '-Y', '+X', '-Y', '-Y', '+X', '-Y', '+X', '-Y', '+X', '-Y', '-X', '-X', '+Y']"
184,0.0,"['0', '-Y', '-X', '-X', '-Y', '-X', '+Y', '-X', '-Y', '-X', '-Y', '-Y', '-Y', '-Y', '-Y']"
