number,stability,foldingPattern
0,-1.0,"['0', '+X', '-Y', '+X', '+Y', '+X', '+X', '+X', '+X', '+Y', '+Y', '+Y', '-X', '-X', '-X']"
1,-1.0,"['0', '-X', '+Y', '+X', '+Y', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+X', '+Y', '+X', '+Y']"
2,-1.0,"['0', '-Y', '-X', '-X', '-X', '-X', '+Y', '+X', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '+Y']"
3,-1.0,"['0', '+X', '+Y', '+X', '+Y', '+X', '+X', '-Y', '-X', '-Y', '+X', '+X', '-Y', '-Y', '+X']"
4,0.0,"['0', '+X', '+X', '+X', '+Y', '+X', '-Y', '-Y', '+X', '-Y', '-Y', '-Y', '+X', '+X', '+Y']"
5,0.0,"['0', '-X', '+Y', '+Y', '+Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '-Y', '+X', '-Y', '-X']"
6,0.0,"['0', '+X', '+X', '-Y', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '-Y', '+X', '-Y', '+X']"
7,0.0,"['0', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+X', '+X', '-Y', '-Y', '-X', '+Y', '-X', '+Y']"
8,-1.0,"['0', '-Y', '-X', '-X', '-X', '-Y', '-X', '-X', '+Y', '-X', '+Y', '-X', '+Y', '+X', '+Y']"
9,-2.0,"['0', '-Y', '-X', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+X']"
10,0.0,"['0', '+X', '+Y', '+Y', '-X', '-X', '-Y', '-X', '-X', '-X', '-X', '+Y', '+X', '+X', '-Y']"
11,-1.0,"['0', '+X', '+Y', '-X', '-X', '-X', '-Y', '-Y', '-Y', '+X', '+X', '+X', '+Y', '+X', '+X']"
12,-1.0,"['0', '+X', '+X', '+Y', '-X', '+Y', '+Y', '-X', '-X', '+Y', '+Y', '+X', '+X', '-Y', '-X']"
13,-1.0,"['0', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '-Y', '+X', '+X', '-Y', '+X', '+X', '-Y', '-Y']"
14,0.0,"['0', '-X', '-X', '-Y', '-Y', '-Y', '+X', '+X', '-Y', '+X', '+X', '+X', '-Y', '-Y', '-X']"
15,-1.0,"['0', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '+X', '-Y', '-X', '-X', '+Y', '+Y', '-X', '-Y']"
16,0.0,"['0', '+X', '-Y', '+X', '-Y', '+X', '+X', '+Y', '+X', '+X', '+Y', '+Y', '+Y', '-X', '+Y']"
17,-1.0,"['0', '-X', '-X', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y']"
18,-1.0,"['0', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X', '+Y', '-X', '-Y', '-Y', '+X', '+X', '+X']"
19,0.0,"['0', '-X', '-Y', '-Y', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+Y', '+X', '+X', '+X', '-Y']"
20,-1.0,"['0', '-Y', '-X', '+Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '+Y', '-X', '-X', '-Y', '-X']"
21,0.0,"['0', '+Y', '+Y', '+Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '-X', '+Y', '-X', '+Y', '+X']"
22,-1.0,"['0', '-X', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+X', '-Y']"
23,-1.0,"['0', '+X', '+X', '+X', '+X', '-Y', '+X', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '-Y']"
24,-1.0,"['0', '-X', '-Y', '+X', '-Y', '-X', '-X', '-X', '-Y', '-Y', '+X', '+X', '-Y', '-Y', '+X']"
25,0.0,"['0', '-Y', '-X', '-Y', '-Y', '+X', '+Y', '+X', '+X', '-Y', '+X', '-Y', '-X', '-Y', '+X']"
26,-1.0,"['0', '-Y', '-Y', '-Y', '-X', '-X', '-Y', '+X', '+X', '+X', '+X', '-Y', '-X', '-Y', '-X']"
27,0.0,"['0', '+Y', '+X', '+X', '+Y', '-X', '+Y', '+Y', '-X', '+Y', '+Y', '+X', '+X', '+X', '+Y']"
28,-2.0,"['0', '-Y', '-Y', '+X', '+X', '+Y', '+Y', '-X', '+Y', '-X', '+Y', '-X', '-X', '-X', '-X']"
29,-2.0,"['0', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '-X', '-Y', '-Y', '-X', '-X', '-X', '-X', '+Y']"
30,-2.0,"['0', '-Y', '-X', '+Y', '-X', '+Y', '+Y', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '-Y', '-X']"
31,-1.0,"['0', '-X', '-Y', '-Y', '+X', '-Y', '-X', '-X', '+Y', '-X', '-Y', '-Y', '-X', '-Y', '+X']"
32,-3.0,"['0', '+Y', '-X', '-Y', '-X', '+Y', '+Y', '+X', '+Y', '+X', '-Y', '+X', '+X', '-Y', '+X']"
33,-1.0,"['0', '-X', '-X', '-Y', '-X', '-X', '-X', '+Y', '+Y', '+X', '+Y', '+X', '-Y', '-Y', '-Y']"
34,-1.0,"['0', '+X', '-Y', '-X', '-Y', '-X', '-Y', '-X', '-Y', '-Y', '-Y', '+X', '-Y', '+X', '-Y']"
35,-2.0,"['0', '+Y', '-X', '-Y', '-X', '-X', '-X', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '-Y', '-Y']"
36,-1.0,"['0', '+Y', '+X', '+X', '+X', '+Y', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+X', '-Y', '+X']"
37,-2.0,"['0', '+X', '-Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+Y', '+Y', '+X', '+Y', '+X', '+Y']"
38,0.0,"['0', '+Y', '+Y', '+X', '+Y', '-X', '-X', '-X', '-X', '-X', '-Y', '-X', '-Y', '-X', '+Y']"
39,-1.0,"['0', '+Y', '-X', '-X', '-Y', '-Y', '-Y', '-Y', '-X', '-X', '+Y', '-X', '+Y', '+X', '-Y']"
40,-2.0,"['0', '+X', '+X', '-Y', '-X', '-X', '-X', '-Y', '-Y', '-Y', '-X', '-X', '-Y', '-X', '-X']"
41,0.0,"['0', '+Y', '+Y', '+Y', '+Y', '-X', '+Y', '-X', '-X', '-Y', '-X', '-X', '+Y', '-X', '+Y']"
42,-1.0,"['0', '+Y', '-X', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+Y', '-X', '-X', '-Y', '-Y']"
43,0.0,"['0', '-X', '+Y', '-X', '-X', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+X', '-Y', '+X', '+X']"
44,-1.0,"['0', '-X', '-X', '-Y', '-Y', '-X', '-Y', '-Y', '+X', '+X', '+Y', '+X', '+Y', '+Y', '+Y']"
45,0.0,"['0', '-Y', '-X', '-X', '-X', '+Y', '+Y', '+Y', '-X', '+Y', '-X', '+Y', '+Y', '+Y', '-X']"
46,0.0,"['0', '+Y', '+Y', '+Y', '+X', '+Y', '+X', '+X', '+X', '+X', '+X', '+Y', '-X', '-X', '-X']"
47,-1.0,"['0', '-X', '+Y', '+Y', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-Y', '-Y', '-X', '-X', '-Y']"
48,0.0,"['0', '+X', '+Y', '+X', '+X', '+X', '+X', '-Y', '+X', '+X', '+X', '+X', '+X', '+Y', '+Y']"
49,-2.0,"['0', '+Y', '-X', '-X', '-X', '-Y', '+X', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+X']"
50,-1.0,"['0', '+X', '+X', '+Y', '+X', '+X', '-Y', '+X', '+Y', '+Y', '-X', '+Y', '+X', '+Y', '-X']"
51,0.0,"['0', '-Y', '+X', '+X', '+X', '+X', '-Y', '-Y', '+X', '-Y', '+X', '+X', '+Y', '+X', '+Y']"
52,0.0,"['0', '+Y', '+X', '+Y', '+X', '+X', '-Y', '-Y', '-Y', '+X', '+X', '+Y', '+Y', '+X', '-Y']"
53,-2.0,"['0', '+X', '+Y', '-X', '-X', '-X', '-X', '-X', '-X', '+Y', '+Y', '+Y', '-X', '-Y', '-Y']"
54,-1.0,"['0', '-X', '-X', '-Y', '-X', '-X', '-Y', '-X', '-X', '-X', '-X', '-X', '+Y', '+X', '-Y']"
55,0.0,"['0', '-Y', '-X', '-Y', '-Y', '+X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '+X', '+Y', '+Y']"
56,-2.0,"['0', '-X', '+Y', '+X', '+Y', '+X', '+X', '+Y', '+X', '+Y', '-X', '+Y', '+Y', '+Y', '+Y']"
57,-1.0,"['0', '+X', '-Y', '-X', '-X', '-X', '-Y', '-Y', '-Y', '+X', '+X', '-Y', '-X', '-X', '-Y']"
58,-1.0,"['0', '+X', '+Y', '-X', '-X', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '+X', '-Y', '-Y', '-Y']"
59,-1.0,"['0', '-X', '-Y', '-X', '-X', '-Y', '-X', '-Y', '-Y', '+X', '+X', '+Y', '+X', '-Y', '-X']"
60,-1.0,"['0', '+X', '-Y', '-X', '-Y', '-X', '-Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '-X', '+Y']"
61,0.0,"['0', '+X', '+Y', '+Y', '+X', '+Y', '-X', '-X', '+Y', '+Y', '+Y', '+Y', '+Y', '-X', '-Y']"
62,0.0,"['0', '-Y', '-Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '-X', '-X', '-X', '+Y', '-X', '-X']"
63,0.0,"['0', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '-X', '-X', '-X', '-X', '-X', '-X', '-X']"
64,0.0,"['0', '+X', '+X', '-Y', '+X', '+X', '+Y', '+X', '+Y', '+X', '+Y', '+Y', '+X', '+X', '+Y']"
65,0.0,"['0', '-X', '-X', '-Y', '-X', '-Y', '+X', '+X', '+X', '+X', '+X', '+X', '+Y', '+X', '+X']"
66,0.0,"['0', '+X', '+Y', '+Y', '+Y', '-X', '+Y', '-X', '-Y', '-X', '-X', '-Y', '-X', '-X', '+Y']"
67,0.0,"['0', '-X', '+Y', '+Y', '+Y', '-X', '-Y', '-X', '-X', '-X', '-X', '-X', '-X', '-X', '+Y']"
68,0.0,"['0', '-X', '-Y', '-X', '-X', '-Y', '-Y', '-Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '-Y']"
69,-1.0,"['0', '+X', '+X', '-Y', '-X', '-Y', '+X', '+X', '-Y', '-Y', '-X', '-Y', '-Y', '-X', '+Y']"
70,0.0,"['0', '+Y', '-X', '+Y', '-X', '-X', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '-X', '-Y']"
71,0.0,"['0', '-X', '-X', '-X', '+Y', '-X', '+Y', '-X', '-Y', '-Y', '-X', '-X', '-X', '-X', '+Y']"
72,-1.0,"['0', '+X', '+Y', '+Y', '+Y', '+Y', '+X', '-Y', '+X', '+X', '+X', '+X', '+X', '+Y', '-X']"
73,-2.0,"['0', '+Y', '+X', '-Y', '-Y', '-Y', '+X', '+Y', '+Y', '+X', '+Y', '+X', '+X', '-Y', '-Y']"
74,0.0,"['0', '+Y', '+Y', '+X', '+X', '+X', '+Y', '+X', '+X', '+X', '-Y', '-X', '-Y', '-X', '+Y']"
75,0.0,"['0', '+Y', '-X', '+Y', '+Y', '-X', '-Y', '-Y', '-Y', '-X', '-X', '-X', '+Y', '+Y', '+X']"
76,-1.0,"['0', '+X', '+Y', '-X', '+Y', '+Y', '+X', '+Y', '+X', '+Y', '+X', '+Y', '+X', '+Y', '+X']"
77,-1.0,"['0', '-X', '-Y', '+X', '-Y', '+X', '-Y', '-Y', '+X', '-Y', '-Y', '-Y', '-X', '-X', '-Y']"
78,-3.0,"['0', '-Y', '+X', '+Y', '+Y', '-X', '-X', '+Y', '-X', '-X', '+Y', '-X', '+Y', '+X', '+Y']"
79,0.0,"['0', '+Y', '+Y', '+Y', '+Y', '+X', '-Y', '-Y', '+X', '+X', '+Y', '+X', '+Y', '+Y', '+X']"
80,-1.0,"['0', '+Y', '+X', '+X', '+X', '+X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+Y']"
81,-1.0,"['0', '-X', '+Y', '+X', '+X', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+X']"
82,-2.0,"['0', '-Y', '-X', '+Y', '-X', '-X', '-X', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '-X', '-Y']"
83,-1.0,"['0', '+X', '+X', '-Y', '-X', '-Y', '-Y', '+X', '+X', '+X', '-Y', '+X', '+X', '+X', '+Y']"
84,0.0,"['0', '-Y', '-Y', '-Y', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '-X', '+Y', '+Y', '+Y']"
85,-1.0,"['0', '-X', '+Y', '+Y', '-X', '+Y', '+Y', '+Y', '+X', '-Y', '+X', '+X', '-Y', '-X', '-Y']"
86,-1.0,"['0', '-X', '+Y', '+Y', '+X', '+X', '-Y', '+X', '+X', '-Y', '-X', '-Y', '-Y', '+X', '+X']"
87,-1.0,"['0', '-X', '-Y', '-Y', '-Y', '+X', '+X', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '+Y', '+X']"
88,-2.0,"['0', '+Y', '+Y', '+Y', '+Y', '-X', '+Y', '+X', '+X', '-Y', '+X', '-Y', '-Y', '-Y', '-X']"
89,-4.0,"['0', '-Y', '-Y', '-X', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '+X', '+X', '-Y', '-Y', '-X']"
90,-1.0,"['0', '-X', '+Y', '+X', '+Y', '-X', '-X', '+Y', '-X', '+Y', '+Y', '+X', '+X', '+X', '+Y']"
91,-1.0,"['0', '+Y', '+Y', '-X', '-Y', '-X', '-Y', '-X', '+Y', '-X', '-X', '+Y', '+Y', '+X', '+X']"
92,-2.0,"['0', '-Y', '+X', '+Y', '+X', '+Y', '+X', '+X', '-Y', '-Y', '-Y', '-X', '+Y', '-X', '-Y']"
93,-2.0,"['0', '+Y', '+Y', '-X', '-Y', '-X', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '+X', '-Y', '+X']"
94,-1.0,"['0', '+X', '+Y', '+X', '+X', '-Y', '+X', '-Y', '+X', '-Y', '-Y', '+X', '-Y', '-X', '+Y']"
95,0.0,"['0', '-X', '-X', '-Y', '-X', '-Y', '-X', '-Y', '-Y', '+X', '+X', '+X', '-Y', '+X', '+Y']"
96,0.0,"['0', '-Y', '-X', '-X', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+X']"
97,0.0,"['0', '-Y', '-Y', '+X', '+X', '-Y', '-X', '-Y', '-Y', '+X', '-Y', '+X', '+Y', '+Y', '-X']"
98,0.0,"['0', '-X', '-Y', '-X', '-Y', '+X', '-Y', '-Y', '-Y', '+X', '+X', '+Y', '+X', '+X', '+Y']"
99,-2.0,"['0', '-X', '-Y', '+X', '-Y', '-X', '-Y', '+X', '+X', '-Y', '+X', '+X', '-Y', '-Y', '-X']"
100,0.0,"['0', '+X', '+Y', '+X', '+Y', '+Y', '-X', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+Y', '-X']"
101,0.0,"['0', '+X', '+X', '+X', '+X', '-Y', '-X', '-X', '-Y', '+X', '-Y', '-Y', '-X', '-X', '-X']"
102,0.0,"['0', '-Y', '-Y', '-Y', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '-Y', '+X', '-Y']"
103,-1.0,"['0', '-X', '-Y', '+X', '-Y', '-Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '-Y', '-X', '-Y']"
104,-2.0,"['0', '+X', '-Y', '-X', '-Y', '-X', '-X', '-Y', '-X', '-Y', '+X', '+X', '+X', '-Y', '-X']"
105,-2.0,"['0', '-X', '-Y', '-X', '-Y', '-Y', '-X', '-X', '+Y', '+X', '+Y', '-X', '-X', '-X', '+Y']"
106,0.0,"['0', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+X', '+X', '+X', '-Y', '-X']"
107,-1.0,"['0', '+Y', '+X', '+X', '+X', '-Y', '-X', '-Y', '+X', '-Y', '-X', '-X', '-Y', '-Y', '-Y']"
108,-3.0,"['0', '+Y', '+Y', '-X', '-Y', '-Y', '-Y', '-X', '-Y', '+X', '-Y', '-Y', '+X', '+Y', '+X']"
109,0.0,"['0', '+Y', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '+X', '-Y', '+X', '+X', '-Y', '-Y', '-Y']"
110,-2.0,"['0', '-X', '-Y', '+X', '-Y', '+X', '-Y', '-X', '-Y', '-X', '-X', '-X', '-X', '-Y', '+X']"
111,-1.0,"['0', '-Y', '+X', '+X', '+X', '+X', '+Y', '+Y', '+Y', '+Y', '-X', '-Y', '-Y', '-Y', '-Y']"
