number,stability,foldingPattern
0,0.0,"['0', '+X', '+Y', '-X', '-X', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X', '-X', '-X', '-X', '-Y', '+X', '-Y', '-X', '-Y', '+X', '+X']"
1,0.0,"['0', '+Y', '-X', '-X', '-X', '-X', '-Y', '+X', '-Y', '-Y', '+X', '+X', '+X', '-Y', '-Y', '-Y', '-X', '-X', '-Y', '-Y', '-X', '+Y']"
2,0.0,"['0', '+X', '-Y', '+X', '-Y', '+X', '+X', '-Y', '-Y', '+X', '-Y', '-X', '-Y', '-X', '-Y', '+X', '+X', '+X', '-Y', '-X', '-X', '+Y']"
3,-1.0,"['0', '+Y', '-X', '-Y', '-X', '-X', '-Y', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-X', '-X', '-Y', '+X', '-Y', '+X', '-Y', '-Y', '+X']"
4,0.0,"['0', '+X', '-Y', '-X', '-Y', '+X', '+X', '+Y', '+Y', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '+X', '-Y', '-Y', '-Y', '+X', '+X', '-Y']"
5,0.0,"['0', '-Y', '+X', '+Y', '+X', '-Y', '+X', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '+Y', '-X', '-X', '-X', '+Y', '-X', '+Y']"
6,0.0,"['0', '+Y', '-X', '-Y', '-X', '-Y', '-Y', '-Y', '-Y', '+X', '-Y', '+X', '+X', '-Y', '-Y', '-Y', '+X', '+X', '+X', '+Y', '-X', '-Y']"
7,0.0,"['0', '+X', '+Y', '-X', '-X', '-X', '-X', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-Y', '-X', '-X', '+Y', '-X', '-X', '-Y', '+X', '-Y']"
8,-1.0,"['0', '-Y', '-Y', '-X', '-X', '-Y', '+X', '-Y', '-X', '-X', '-X', '-X', '+Y', '+X', '+Y', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X']"
9,0.0,"['0', '-X', '+Y', '-X', '-X', '+Y', '-X', '-Y', '-X', '-Y', '-X', '-Y', '-X', '-Y', '-Y', '-X', '-X', '-X', '-X', '+Y', '-X', '-Y']"
10,-3.0,"['0', '-Y', '-X', '+Y', '+Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y']"
11,0.0,"['0', '-X', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '-X', '+Y', '-X', '-Y', '-Y', '-X', '-X', '-X', '-Y', '-Y', '-Y', '+X', '-Y', '-Y']"
12,0.0,"['0', '-X', '+Y', '+Y', '-X', '-Y', '-Y', '-Y', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '+Y', '+X', '+X', '+X', '+X', '+Y', '+Y', '-X']"
