number,stability,foldingPattern
13,0.0,"['0', '+Y', '+X', '+Y', '-X', '-X', '-X', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+Y', '+Y', '-X']"
14,-1.0,"['0', '+Y', '-X', '-X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '-X', '-X', '+Y', '+X', '+Y', '+X', '+Y', '+X', '-Y', '+X', '+Y', '+X']"
15,-1.0,"['0', '-X', '+Y', '-X', '-X', '+Y', '-X', '+Y', '+Y', '+X', '+X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '+X', '+X', '-Y', '-Y', '-Y']"
16,-1.0,"['0', '-Y', '-X', '+Y', '+Y', '+X', '+X', '-Y', '-Y', '+X', '+X', '-Y', '+X', '+Y', '+Y', '-X', '+Y', '+Y', '+Y', '-X', '-Y', '-Y']"
17,0.0,"['0', '-Y', '-Y', '-Y', '+X', '+Y', '+X', '-Y', '+X', '-Y', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+X', '-Y']"
18,0.0,"['0', '-X', '-Y', '-Y', '-X', '-X', '-Y', '+X', '-Y', '-Y', '-Y', '-X', '+Y', '-X', '+Y', '+Y', '-X', '-X', '-Y', '-X', '+Y', '+Y']"
19,0.0,"['0', '+X', '+Y', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+X']"
20,-1.0,"['0', '-X', '+Y', '-X', '-X', '-Y', '-Y', '-X', '+Y', '+Y', '-X', '+Y', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '+Y']"
21,0.0,"['0', '-Y', '-X', '-Y', '+X', '+X', '-Y', '-Y', '+X', '+X', '+Y', '+Y', '+Y', '+X', '+X', '-Y', '+X', '-Y', '-X', '-X', '+Y', '-X']"
22,0.0,"['0', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '+Y', '+Y', '+Y']"
23,-1.0,"['0', '+X', '+X', '-Y', '-Y', '-X', '-Y', '-Y', '+X', '+Y', '+X', '-Y', '+X', '+Y', '+Y', '+Y', '-X', '+Y', '+Y', '+Y', '+Y', '-X']"
24,0.0,"['0', '+Y', '-X', '+Y', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '-X', '+Y', '+X', '+Y', '+X', '+Y', '+Y']"
25,-1.0,"['0', '+Y', '-X', '-X', '-Y', '+X', '-Y', '+X', '+X', '+X', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+Y', '+Y']"
26,-1.0,"['0', '-X', '-Y', '-Y', '+X', '-Y', '-Y', '-X', '-Y', '+X', '-Y', '-Y', '-Y', '-X', '-X', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '-X']"
27,0.0,"['0', '-X', '+Y', '-X', '-X', '-X', '-X', '-X', '-Y', '-X', '-X', '-X', '-Y', '+X', '+X', '+X', '+X', '-Y', '-X', '-Y', '-X', '-Y']"
28,0.0,"['0', '+X', '+X', '+X', '+X', '+X', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '+X', '+X', '-Y', '-Y', '-X', '-X']"
29,0.0,"['0', '-Y', '-X', '-Y', '-Y', '-Y', '-X', '+Y', '+Y', '-X', '+Y', '-X', '-Y', '-Y', '-X', '+Y', '-X', '-Y', '-X', '-X', '-Y', '-Y']"
30,0.0,"['0', '+Y', '-X', '+Y', '-X', '-Y', '-X', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+X', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '+Y', '+Y']"
31,-1.0,"['0', '-Y', '-X', '-X', '-X', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '+Y', '+Y', '-X', '-X', '-Y']"
32,0.0,"['0', '+Y', '+X', '+X', '-Y', '-Y', '-X', '-Y', '-X', '-Y', '-Y', '-Y', '+X', '+X', '-Y', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+X']"
33,-2.0,"['0', '-X', '+Y', '-X', '-Y', '-X', '-X', '-Y', '+X', '-Y', '+X', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+X', '+Y', '-X']"
34,-1.0,"['0', '+X', '+X', '+X', '+Y', '+Y', '+X', '+X', '-Y', '-X', '-Y', '+X', '-Y', '+X', '+Y', '+X', '+Y', '+X', '-Y', '-Y', '-Y', '+X']"
35,0.0,"['0', '-X', '+Y', '+X', '+Y', '-X', '+Y', '-X', '-X', '-Y', '-Y', '-Y', '-X', '-X', '+Y', '+Y', '-X', '-X', '-X', '-Y', '-Y', '-X']"
36,0.0,"['0', '+X', '+X', '+X', '-Y', '-X', '-Y', '-X', '-Y', '+X', '-Y', '-X', '-Y', '-X', '-X', '-X', '+Y', '-X', '-Y', '-X', '+Y', '-X']"
37,0.0,"['0', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '-X', '-X', '+Y', '+Y', '+X', '+Y', '+X', '-Y', '+X', '-Y', '+X', '+X', '-Y', '+X']"
38,0.0,"['0', '-X', '+Y', '-X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '+X', '+X', '-Y', '+X', '-Y', '-Y', '+X', '-Y', '-Y', '-Y', '+X', '+X']"
39,-1.0,"['0', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '+X', '-Y', '+X', '-Y', '-X', '-Y', '-X', '-Y', '-X', '-X', '-Y', '+X', '+X', '+X', '-Y']"
40,0.0,"['0', '+X', '-Y', '+X', '+Y', '+Y', '+X', '+X', '-Y', '+X', '-Y', '+X', '+X', '+X', '+X', '+X', '-Y', '-Y', '-X', '-Y', '-Y', '+X']"
41,0.0,"['0', '+Y', '-X', '+Y', '-X', '-Y', '-Y', '-X', '-Y', '-X', '-Y', '-X', '+Y', '-X', '+Y', '-X', '-X', '+Y', '+Y', '+Y', '-X', '-X']"
42,0.0,"['0', '-Y', '+X', '-Y', '-Y', '-X', '-X', '-X', '-X', '+Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '+Y', '+X', '+Y', '-X', '+Y', '-X']"
43,0.0,"['0', '-Y', '-Y', '-X', '-X', '+Y', '+Y', '+Y', '+X', '+Y', '+X', '+Y', '-X', '+Y', '-X', '+Y', '+Y', '+Y', '+Y', '+X', '+Y', '+Y']"
44,0.0,"['0', '+Y', '+X', '-Y', '+X', '+X', '+X', '-Y', '-Y', '+X', '-Y', '-X', '-X', '-Y', '-Y', '-Y', '-Y', '-X', '-Y', '-X', '-Y', '+X']"
45,0.0,"['0', '-Y', '-X', '-Y', '+X', '-Y', '-Y', '-Y', '+X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '+X', '-Y', '-Y', '-Y', '-X', '-X', '-Y']"
46,0.0,"['0', '-X', '+Y', '+Y', '-X', '+Y', '+Y', '-X', '+Y', '-X', '-X', '+Y', '-X', '-Y', '-Y', '-X', '-X', '+Y', '+X', '+Y', '+Y', '+Y']"
47,0.0,"['0', '+X', '+Y', '+X', '+X', '-Y', '+X', '-Y', '+X', '-Y', '-X', '-X', '-Y', '-Y', '-Y', '-X', '-X', '-Y', '-Y', '-X', '-X', '-X']"
48,0.0,"['0', '+Y', '+X', '-Y', '+X', '-Y', '-Y', '-X', '-X', '+Y', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X', '-X', '-X', '+Y', '+X', '-Y']"
49,0.0,"['0', '-X', '-Y', '+X', '-Y', '+X', '+Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+X', '-Y', '+X', '+Y', '+X', '+X', '-Y', '-X', '-X']"
50,0.0,"['0', '-Y', '-X', '+Y', '-X', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '-X', '+Y', '-X', '-X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '+X']"
51,0.0,"['0', '-X', '+Y', '-X', '+Y', '-X', '-Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '-Y', '-Y', '-X', '-Y', '-Y', '-Y', '-Y', '-X', '+Y']"
52,0.0,"['0', '+X', '+Y', '+Y', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-Y', '-Y', '-Y', '+X', '-Y', '+X', '+X', '+X', '+Y', '-X', '-X', '+Y']"
53,-1.0,"['0', '+Y', '+Y', '-X', '-Y', '-Y', '-Y', '-Y', '-X', '+Y', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '+X', '+X', '+X']"
54,0.0,"['0', '+X', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '-Y', '-Y', '-Y', '-Y', '-X', '-X']"
55,0.0,"['0', '-Y', '-X', '-X', '-X', '-X', '+Y', '-X', '+Y', '+X', '+Y', '-X', '+Y', '+X', '+X', '+X', '+X', '-Y', '+X', '+X', '-Y', '-Y']"
56,-2.0,"['0', '-Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+Y', '+X', '-Y', '+X', '+Y', '+Y', '+Y', '-X', '-Y', '-X', '+Y', '+Y', '+Y', '-X']"
57,0.0,"['0', '+Y', '-X', '+Y', '-X', '+Y', '-X', '+Y', '+Y', '+X', '+Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '-X', '+Y', '-X', '-X', '+Y']"
58,-1.0,"['0', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+Y', '-X', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '-Y', '+X', '-Y']"
59,0.0,"['0', '-Y', '-X', '-Y', '-Y', '-X', '-X', '-X', '-Y', '-Y', '-Y', '+X', '-Y', '+X', '+X', '+Y', '-X', '+Y', '+X', '+X', '+X', '-Y']"
60,-1.0,"['0', '+X', '+Y', '-X', '-X', '-X', '-X', '-X', '+Y', '+Y', '+X', '+X', '-Y', '+X', '+Y', '+Y', '-X', '+Y', '+X', '+X', '+Y', '+Y']"
61,-1.0,"['0', '+Y', '+Y', '+X', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y']"
62,0.0,"['0', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '-X', '+Y', '+Y', '+Y', '-X', '+Y', '+Y', '+Y', '+X', '+Y']"
63,0.0,"['0', '-X', '+Y', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '+Y', '-X', '+Y', '+X', '+Y', '-X', '-X', '+Y', '+X', '+Y', '-X', '+Y']"
64,0.0,"['0', '-Y', '-X', '+Y', '-X', '-X', '-Y', '-X', '-X', '-X', '-X', '-X', '-X', '-X', '+Y', '+X', '+Y', '+Y', '-X', '+Y', '-X', '-X']"
65,0.0,"['0', '-Y', '-X', '-Y', '-X', '-Y', '-X', '+Y', '+Y', '-X', '-Y', '-X', '-X', '-X', '-X', '-X', '-X', '-Y', '+X', '-Y', '-X', '+Y']"
66,0.0,"['0', '-Y', '-Y', '+X', '+X', '-Y', '+X', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '-X', '+Y', '-X', '-X', '-Y', '-X', '-Y']"
67,0.0,"['0', '-X', '-Y', '-Y', '-X', '-X', '-X', '-Y', '-X', '-X', '-Y', '-X', '-X', '+Y', '+Y', '+Y', '-X', '+Y', '-X', '-Y', '-Y', '-Y']"
68,0.0,"['0', '-X', '-Y', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '-Y', '+X', '+Y', '+Y', '-X', '+Y', '-X', '+Y']"
69,-1.0,"['0', '+X', '+Y', '+Y', '-X', '-Y', '-X', '+Y', '-X', '-X', '-Y', '-Y', '-X', '-X', '+Y', '-X', '-X', '-X', '-X', '-X', '+Y', '+X']"
70,0.0,"['0', '+X', '+X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '+X', '+X', '+X', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+X', '-Y', '-X', '-X']"
71,0.0,"['0', '+X', '+X', '+X', '+Y', '-X', '-X', '+Y', '-X', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '-X', '+Y', '+Y', '+Y', '+X', '+Y', '-X']"
72,-2.0,"['0', '+Y', '-X', '-X', '-Y', '+X', '-Y', '-X', '-Y', '-Y', '+X', '+X', '+X', '+X', '+Y', '+X', '+Y', '-X', '-X', '+Y', '+X', '+X']"
73,0.0,"['0', '-X', '+Y', '+Y', '+X', '+Y', '-X', '-X', '-X', '-X', '-Y', '-X', '-Y', '-X', '-Y', '+X', '+X', '+X', '+X', '-Y', '+X', '-Y']"
74,0.0,"['0', '+Y', '+X', '-Y', '-Y', '+X', '+X', '-Y', '+X', '-Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '-Y', '-X', '-X', '-Y', '-Y', '-X']"
75,-1.0,"['0', '+X', '+Y', '+Y', '+X', '+Y', '+X', '+Y', '+X', '+X', '+X', '+X', '-Y', '+X', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '+X', '+X']"
76,-1.0,"['0', '-X', '+Y', '+Y', '-X', '-Y', '-Y', '-X', '+Y', '-X', '-Y', '-X', '-Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '+Y', '-X', '-Y']"
77,-1.0,"['0', '-X', '-X', '-Y', '-Y', '-X', '+Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '-X', '+Y', '+Y', '+X']"
78,0.0,"['0', '-Y', '+X', '+X', '-Y', '-Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+X', '+Y', '+X', '-Y', '-Y', '-X', '-X', '-Y', '+X', '-Y']"
79,0.0,"['0', '-Y', '-X', '+Y', '-X', '+Y', '+Y', '+X', '+Y', '-X', '-X', '-X', '-X', '-Y', '-X', '+Y', '+Y', '+Y', '-X', '-X', '-Y', '-Y']"
80,0.0,"['0', '+Y', '+X', '-Y', '-Y', '-Y', '-X', '-Y', '-Y', '-Y', '+X', '+Y', '+X', '+Y', '+X', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '-Y']"
81,0.0,"['0', '-Y', '+X', '-Y', '-Y', '-Y', '-X', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X', '-X', '-Y', '-Y', '-Y', '-X', '-Y', '-X', '-Y']"
82,0.0,"['0', '-Y', '-Y', '+X', '+X', '+Y', '+X', '+X', '+X', '+Y', '+Y', '+Y', '-X', '-X', '-X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '-X']"
83,0.0,"['0', '+X', '-Y', '-X', '-Y', '+X', '-Y', '-X', '-X', '-Y', '-X', '+Y', '+Y', '+Y', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '-X', '-Y']"
84,0.0,"['0', '+X', '+Y', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '-X', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '-X', '+Y']"
85,0.0,"['0', '+Y', '-X', '-Y', '-X', '+Y', '-X', '-X', '-Y', '-Y', '-X', '-Y', '-X', '-X', '-X', '+Y', '-X', '+Y', '+Y', '-X', '-X', '-Y']"
86,0.0,"['0', '+X', '+Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '-Y', '-Y', '-X', '-Y', '-X', '-X', '-Y', '+X', '-Y', '-X', '-X', '+Y', '+Y']"
87,0.0,"['0', '-X', '-X', '+Y', '-X', '-X', '-Y', '-X', '-Y', '-X', '-X', '+Y', '+Y', '-X', '+Y', '+X', '+Y', '+X', '-Y', '+X', '+Y', '+X']"
88,0.0,"['0', '-X', '-X', '-Y', '-X', '+Y', '-X', '+Y', '-X', '-X', '-Y', '-Y', '-Y', '+X', '-Y', '-Y', '-X', '-X', '+Y', '-X', '-Y', '+X']"
89,-1.0,"['0', '-X', '+Y', '+Y', '+Y', '+Y', '+Y', '-X', '-Y', '-X', '-X', '+Y', '-X', '-X', '+Y', '+X', '+Y', '+X', '+Y', '+X', '+X', '+X']"
90,0.0,"['0', '+Y', '-X', '+Y', '-X', '-X', '+Y', '-X', '-X', '-X', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+Y']"
91,0.0,"['0', '+Y', '+X', '+X', '+Y', '+X', '+X', '+X', '-Y', '-Y', '+X', '+X', '+X', '+Y', '+Y', '+X', '-Y', '+X', '+X', '-Y', '-X', '-X']"
92,0.0,"['0', '+X', '-Y', '-X', '-Y', '-Y', '-X', '+Y', '-X', '-X', '+Y', '+X', '+Y', '+Y', '-X', '+Y', '-X', '-X', '+Y', '+Y', '+Y', '-X']"
93,0.0,"['0', '-Y', '-Y', '-Y', '-Y', '+X', '+Y', '+X', '+X', '+X', '+Y', '+X', '-Y', '+X', '-Y', '-Y', '-X', '-Y', '+X', '-Y', '-X', '+Y']"
94,0.0,"['0', '-X', '+Y', '+X', '+Y', '+Y', '+Y', '-X', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+Y', '+X', '+Y', '-X', '-X', '-X', '-X', '-Y']"
95,0.0,"['0', '+X', '-Y', '-Y', '+X', '-Y', '+X', '-Y', '-Y', '-X', '-Y', '-Y', '-X', '-X', '-Y', '+X', '+X', '+X', '+X', '+X', '-Y', '+X']"
96,0.0,"['0', '+X', '+X', '+Y', '+Y', '+X', '-Y', '+X', '-Y', '+X', '-Y', '-Y', '-Y', '+X', '+X', '+Y', '+Y', '+Y', '+X', '-Y', '-Y', '-X']"
97,0.0,"['0', '-X', '-Y', '-Y', '-X', '-Y', '-Y', '+X', '-Y', '-Y', '+X', '+X', '-Y', '+X', '-Y', '-X', '-Y', '+X', '-Y', '+X', '+Y', '+X']"
98,-1.0,"['0', '+Y', '+Y', '-X', '-Y', '-X', '+Y', '-X', '+Y', '+X', '+X', '+X', '+X', '+Y', '+Y', '-X', '-X', '+Y', '-X', '+Y', '-X', '-X']"
99,-1.0,"['0', '-Y', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '+X', '-Y', '+X', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+Y', '+Y', '+Y', '-X', '+Y']"
100,0.0,"['0', '-Y', '-Y', '-X', '-X', '-Y', '-X', '-X', '+Y', '-X', '-Y', '-Y', '-Y', '-Y', '+X', '-Y', '-Y', '-X', '-Y', '-Y', '-X', '+Y']"
101,-1.0,"['0', '+Y', '-X', '-X', '+Y', '+Y', '+Y', '+Y', '+X', '+X', '+X', '+Y', '-X', '-X', '-X', '+Y', '+Y', '-X', '-X', '+Y', '+Y', '-X']"
102,-1.0,"['0', '+X', '-Y', '-X', '-X', '-Y', '-Y', '-Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+X', '-Y', '+X', '+X', '+X', '+X']"
103,-3.0,"['0', '-Y', '+X', '-Y', '+X', '+Y', '+X', '-Y', '-Y', '+X', '+Y', '+Y', '+Y', '-X', '-X', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '-X']"
104,0.0,"['0', '-Y', '-X', '-Y', '-Y', '+X', '-Y', '-Y', '-Y', '-Y', '+X', '-Y', '-X', '-Y', '-Y', '+X', '-Y', '-Y', '-X', '-Y', '-Y', '-X']"
105,-1.0,"['0', '-X', '-X', '+Y', '+Y', '+Y', '-X', '+Y', '+X', '+X', '+X', '+X', '+Y', '+Y', '+X', '+X', '-Y', '-Y', '+X', '-Y', '+X', '+Y']"
106,-1.0,"['0', '+Y', '+Y', '+X', '+Y', '+Y', '+Y', '+Y', '+X', '+Y', '+X', '+X', '+Y', '+X', '-Y', '+X', '+X', '+Y', '+Y', '+Y', '+X', '+X']"
107,0.0,"['0', '-Y', '-Y', '-Y', '+X', '-Y', '-X', '-X', '-X', '-Y', '-X', '-Y', '+X', '+X', '+X', '+X', '-Y', '+X', '+X', '+X', '+X', '-Y']"
108,0.0,"['0', '+Y', '+X', '+X', '-Y', '+X', '+X', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '+X', '+Y', '+Y', '-X', '-X']"
109,0.0,"['0', '+X', '+X', '+Y', '-X', '+Y', '+X', '+Y', '+X', '+Y', '+Y', '+X', '+X', '+X', '+X', '+Y', '-X', '+Y', '+Y', '-X', '+Y', '-X']"
110,-1.0,"['0', '-Y', '+X', '-Y', '+X', '+X', '+Y', '+X', '-Y', '+X', '-Y', '-Y', '+X', '+X', '+X', '+Y', '+X', '+X', '+X', '+Y', '+X', '+X']"
111,-1.0,"['0', '+X', '+X', '+X', '+X', '+Y', '+Y', '-X', '-X', '+Y', '+X', '+X', '+Y', '+X', '+X', '+X', '+X', '+X', '+Y', '+X', '+X', '+Y']"
112,-1.0,"['0', '-Y', '-Y', '+X', '+Y', '+Y', '+X', '+X', '-Y', '-Y', '+X', '+X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '+X', '-Y', '-Y', '+X']"
113,0.0,"['0', '+X', '+X', '+X', '+X', '-Y', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+X', '+X', '+X', '+X', '+X', '+X', '-Y', '-Y', '-Y', '-X']"
114,-1.0,"['0', '-X', '-X', '-X', '+Y', '-X', '-X', '-X', '-X', '-Y', '+X', '+X', '-Y', '-X', '-X', '-X', '-Y', '-X', '-X', '-Y', '-X', '+Y']"
115,0.0,"['0', '+X', '-Y', '-X', '-Y', '-X', '-Y', '-Y', '-Y', '-X', '+Y', '-X', '-Y', '-Y', '-X', '-X', '-Y', '-X', '-Y', '-Y', '+X', '+Y']"
116,0.0,"['0', '-X', '+Y', '-X', '+Y', '-X', '+Y', '-X', '+Y', '+X', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '-X', '-X', '-X', '-Y', '+X', '+X']"
117,-1.0,"['0', '-Y', '-X', '-X', '+Y', '-X', '-X', '-X', '-X', '-Y', '+X', '+X', '-Y', '+X', '+X', '+X', '-Y', '-X', '-Y', '+X', '+X', '+X']"
118,0.0,"['0', '+X', '+Y', '-X', '+Y', '-X', '+Y', '+Y', '+Y', '+X', '+Y', '+X', '+X', '+X', '+Y', '+Y', '-X', '+Y', '-X', '+Y', '-X', '-X']"
119,0.0,"['0', '-X', '-X', '-X', '-X', '-X', '-Y', '-X', '-Y', '+X', '-Y', '-X', '-Y', '+X', '+X', '+X', '-Y', '+X', '-Y', '-X', '-Y', '-X']"
120,-1.0,"['0', '-Y', '+X', '+X', '+Y', '-X', '+Y', '-X', '-X', '-Y', '-X', '-Y', '+X', '-Y', '-Y', '-Y', '+X', '-Y', '-X', '-X', '-Y', '+X']"
121,0.0,"['0', '+Y', '-X', '-X', '-Y', '-Y', '+X', '-Y', '-Y', '-Y', '+X', '-Y', '-Y', '+X', '-Y', '+X', '-Y', '+X', '-Y', '+X', '+Y', '+X']"
122,0.0,"['0', '-X', '-X', '-Y', '+X', '-Y', '-Y', '-Y', '-X', '-X', '-Y', '-X', '+Y', '-X', '-X', '-Y', '+X', '-Y', '-X', '-X', '-X', '+Y']"
123,-1.0,"['0', '-Y', '+X', '+X', '+Y', '-X', '+Y', '+Y', '-X', '-X', '-X', '+Y', '+Y', '+Y', '-X', '+Y', '+Y', '+Y', '+X', '+Y', '+Y', '+X']"
124,-1.0,"['0', '-X', '+Y', '-X', '+Y', '+Y', '+Y', '+X', '+X', '-Y', '+X', '+Y', '+Y', '+X', '-Y', '+X', '+Y', '+Y', '-X', '+Y', '+X', '-Y']"
125,0.0,"['0', '+Y', '+Y', '+Y', '+Y', '+Y', '+X', '+X', '-Y', '-Y', '+X', '+X', '-Y', '+X', '+X', '+X', '+Y', '+X', '+X', '+Y', '+X', '-Y']"
126,0.0,"['0', '-X', '-Y', '-X', '+Y', '+Y', '-X', '+Y', '-X', '-X', '+Y', '+X', '+Y', '+X', '+Y', '+X', '+Y', '+Y', '+X', '-Y', '-Y', '+X']"
127,0.0,"['0', '+X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '+Y', '+X', '+Y', '+Y', '+X', '+X', '+Y', '-X', '+Y', '+X', '+X', '+Y', '-X', '-X']"
128,0.0,"['0', '+X', '-Y', '-Y', '+X', '+Y', '+X', '+X', '+Y', '-X', '+Y', '-X', '+Y', '+X', '+Y', '+X', '+X', '+X', '+Y', '+X', '+Y', '+X']"
129,0.0,"['0', '-X', '-Y', '-Y', '-X', '-Y', '-X', '+Y', '+Y', '-X', '+Y', '+Y', '-X', '-X', '-X', '-Y', '+X', '-Y', '+X', '-Y', '-X', '-Y']"
