7,2,5,-8,-4.0
7,3,3,-8,-4.0
7,3,4,-7,-5.0
7,1,7,0,0
7,2,5,-6,-3.0
7,3,5,-3,-2.0
7,4,3,-5,-3.0
7,5,3,-4,-3.0
7,3,3,-6,-4.0
7,3,4,-7,-4.0
7,3,4,-6,-5.0
7,2,6,-4,-4.0
7,3,4,-6,-5.0
7,3,4,-6,-4.0
7,2,4,-6,-5.0
7,4,4,-5,-4.0
7,2,4,-6,-4.0
7,2,5,-5,-5.0
7,2,5,-8,-6.0
7,6,3,-6,-3.0
7,4,3,-7,-4.0
7,2,5,-7,-6.0
7,3,5,-6,-4.0
7,2,4,-6,-4.0
7,2,4,-8,-5.0
7,4,3,-7,-4.0
7,3,3,-4,-4.0
7,3,5,-6,-5.0
7,4,3,-5,-4.0
7,3,4,-8,-4.0
7,3,4,-8,-4.0
7,2,5,-6,-4.0
7,2,5,-6,-4.0
7,3,3,-5,-4.0
7,3,3,-5,-5.0
7,3,4,-8,-5.0
7,3,4,-7,-6.0
7,3,4,-8,-4.0
7,2,5,-7,-4.0
7,3,4,-6,-4.0
7,2,4,-4,-3.0
7,2,4,-7,-5.0
7,6,3,-6,-3.0
7,5,3,-7,-4.0
7,3,4,-6,-5.0
7,4,2,-7,-4.0
7,3,5,-8,-5.0
7,3,4,-5,-4.0
7,3,4,-6,-5.0
7,5,3,-7,-5.0
7,3,3,-8,-5.0
7,3,4,-5,-5.0
7,2,6,-4,-4.0
7,2,5,-6,-5.0
7,3,4,-4,-4.0
7,2,3,-8,-4.0
7,3,4,-6,-4.0
7,3,3,-5,-5.0
7,2,4,-6,-5.0
7,3,3,-7,-5.0
7,2,5,-6,-4.0
7,3,5,-6,-4.0
7,5,3,-6,-4.0
7,2,3,-6,-4.0
7,3,6,-4,-4.0
7,2,3,-8,-5.0
7,5,3,-8,-4.0
7,3,3,-7,-4.0
7,5,5,-8,-5.0
7,3,4,-7,-5.0
7,5,2,-6,-3.0
7,2,4,-4,-4.0
7,2,4,-9,-4.0
7,2,4,-6,-5.0
7,3,4,-6,-4.0
7,4,2,-5,-4.0
7,3,4,-6,-5.0
7,4,3,-7,-5.0
7,5,3,-5,-4.0
7,3,4,-7,-5.0
7,3,4,-5,-4.0
7,2,4,-6,-4.0
7,2,6,-5,-5.0
7,2,6,-8,-5.0
7,7,1,-6,-2.0
7,3,3,-7,-4.0
7,3,3,-7,-5.0
7,3,5,-7,-5.0
7,3,2,-7,-4.0
7,5,4,-4,-3.0
7,3,2,-8,-4.0
7,3,5,-4,-4.0
7,4,4,-7,-5.0
7,4,4,-6,-4.0
7,3,3,-6,-4.0
7,4,4,-7,-5.0
7,6,4,-5,-4.0
7,4,4,-6,-4.0
7,3,4,-7,-6.0
7,7,2,-6,-3.0
